19,7
9,31
7,31
18,42
41,36
31,11
23,40
35,11
33,11
12,16
20,41
5,43
45,24
17,13
20,8
38,12
12,14
33,25
7,7
47,29
42,25
19,29
16,29
49,34
11,21
51,8
24,22
48,38
46,4
15,25
40,14
19,43
11,39
18,24
24,1
40,12
40,2
10,28
29,21
21,12
7,42
14,8
27,25
5,29
10,29
45,7
1,6
20,20
14,21
26,1
10,1
36,41
52,20
51,36
36,15
41,27
6,34
18,20
48,10
47,26
37,38
29,40
39,42
18,22
25,36
28,15
35,34
40,41
32,43
34,10
38,8
41,24
8,22
8,6
21,30
26,33
30,6
53,30
35,29
49,37
17,1
21,31
44,6
40,35
53,1
40,4
22,34
29,2
50,32
53,22
52,36
32,14
25,26
34,19
40,31
13,32
34,26
50,25
18,38
12,28
26,31
45,27
15,3
17,28
36,20
23,5
45,32
52,9
28,41
19,31
32,32
26,28
5,14
31,7
2,26
34,42
50,26
21,10
25,25
20,24
16,22
35,3
53,9
48,25
43,20
8,29
19,14
39,20
13,36
9,12
25,39
3,4
53,20
21,21
29,22
43,18
17,12
25,17
46,21
47,3
18,19
46,41
26,23
9,35
44,11
27,40
52,25
31,1
34,3
22,32
28,22
37,19
17,27
8,38
40,28
40,13
19,22
32,25
29,39
22,33
49,7
26,36
45,38
11,7
53,27
49,3
13,22
6,17
53,41
35,16
48,12
37,25
19,18
21,19
8,32
34,2
11,33
46,13
17,33
15,24
15,29
28,26
15,17
40,7
2,10
20,32
24,43
9,17
47,12
5,39
15,27
2,22
29,11
33,38
43,24
12,20
45,22
8,11
42,18
1,22
24,33
53,16
22,19
8,35
27,13
23,33
53,23
3,17
38,6
34,34
29,15
6,1
41,11
51,38
24,36
25,16
43,32
14,2
43,30
8,20
38,28
14,28
32,16
39,11
43,39
20,12
49,16
39,23
27,23
28,5
25,21
40,19
49,4
24,18
16,38
13,18
19,10
45,9
16,23
1,42
25,4
39,31
53,39
43,11
47,22
26,25
2,38
14,38
33,12
49,21
53,17
20,40
7,14
30,9
12,8
45,18
43,38
34,16
39,24
36,38
16,1
23,13
35,19
17,9
17,39
41,39
52,28
37,13
10,2
34,15
9,42
37,39
52,3
44,39
30,16
31,26
47,37
20,25
41,19
34,5
46,22
41,31
8,42
23,15
25,3
7,43
46,19
